mjd	why	night_mjd	sequence
59885.27013888889	start	59885	ECDFS_g
59886.28888888889	pregap	59886	ECDFS_g
59895.05763888889	start	59895	Elias_S1_g
59896.03888888889	start	59896	XMM-LSS_g
59896.09027777778	postgap	59896	ECDFS_g
59897.05138888889	cadence	59897	Elias_S1_g
59897.100694444445	start	59897	Euclid_g
59898.10138888889	cadence	59898	XMM-LSS_g
59898.15277777778	cadence	59898	ECDFS_g
59899.05	cadence	59899	Elias_S1_g
59899.12777777778	cadence	59899	Euclid_g
59900.11388888889	cadence	59900	XMM-LSS_g
59900.16388888889	cadence	59900	ECDFS_g
59901.05	cadence	59901	Elias_S1_g
59901.15277777778	cadence	59901	Euclid_g
59902.1125	cadence	59902	XMM-LSS_g
59902.16388888889	cadence	59902	ECDFS_g
59903.03888888889	cadence	59903	Elias_S1_g
59903.146527777775	cadence	59903	Euclid_g
59904.10138888889	cadence	59904	XMM-LSS_g
59904.15277777778	cadence	59904	ECDFS_g
59905.03888888889	cadence	59905	Elias_S1_g
59905.14375	cadence	59905	Euclid_g
59906.10138888889	cadence	59906	XMM-LSS_g
59906.15138888889	cadence	59906	ECDFS_g
59907.03958333333	cadence	59907	Elias_S1_g
59907.135416666664	cadence	59907	Euclid_g
59908.09027777778	cadence	59908	XMM-LSS_g
59908.14375	cadence	59908	ECDFS_g
59909.041666666664	cadence	59909	Elias_S1_g
59909.13263888889	cadence	59909	Euclid_g
59910.08263888889	cadence	59910	XMM-LSS_g
59910.13263888889	cadence	59910	ECDFS_g
59911.04305555556	cadence	59911	Elias_S1_g
59911.135416666664	cadence	59911	Euclid_g
59912.10138888889	cadence	59912	XMM-LSS_g
59912.175	cadence	59912	ECDFS_g
59913.044444444444	pregap	59913	Elias_S1_g
59913.18402777778	pregap	59913	XMM-LSS_g
59913.23333333333	pregap	59913	Euclid_g
59914.2375	cadence	59914	ECDFS_g
59915.25763888889	pregap	59915	ECDFS_g
59918.04791666667	bridge	59918	Elias_S1_g
59920.05138888889	bridge	59920	XMM-LSS_g
59922.05069444444	bridge	59922	ECDFS_g
59925.052083333336	postgap	59925	Elias_S1_g
59926.09027777778	postgap	59926	ECDFS_g
59927.05347222222	cadence	59927	Elias_S1_g
59927.10277777778	postgap	59927	XMM-LSS_g
59928.08888888889	cadence	59928	ECDFS_g
59929.05416666667	cadence	59929	Elias_S1_g
59929.103472222225	cadence	59929	XMM-LSS_g
59929.15277777778	postgap	59929	Euclid_g
59930.08263888889	cadence	59930	ECDFS_g
59931.055555555555	cadence	59931	Elias_S1_g
59931.10486111111	cadence	59931	XMM-LSS_g
59931.15416666667	cadence	59931	Euclid_g
59931.27777777778	start	59931	COSMOS_g
59932.08125	cadence	59932	ECDFS_g
59933.05625	cadence	59933	Elias_S1_g
59933.10555555556	cadence	59933	XMM-LSS_g
59933.154861111114	cadence	59933	Euclid_g
59933.27777777778	cadence	59933	COSMOS_g
59934.07013888889	cadence	59934	ECDFS_g
59935.05694444444	cadence	59935	Elias_S1_g
59935.10555555556	cadence	59935	XMM-LSS_g
59935.154861111114	cadence	59935	Euclid_g
59935.27777777778	cadence	59935	COSMOS_g
59936.07013888889	cadence	59936	ECDFS_g
59937.05763888889	cadence	59937	Elias_S1_g
59937.106944444444	cadence	59937	XMM-LSS_g
59937.15625	cadence	59937	Euclid_g
59937.27777777778	cadence	59937	COSMOS_g
59938.07013888889	cadence	59938	ECDFS_g
59939.05763888889	cadence	59939	Elias_S1_g
59939.106944444444	cadence	59939	XMM-LSS_g
59939.15625	cadence	59939	Euclid_g
59939.27777777778	cadence	59939	COSMOS_g
59940.07013888889	cadence	59940	ECDFS_g
59941.058333333334	pregap	59941	Elias_S1_g
59941.10763888889	cadence	59941	XMM-LSS_g
59941.15694444445	cadence	59941	Euclid_g
59941.28888888889	cadence	59941	COSMOS_g
59942.058333333334	pregap	59942	XMM-LSS_g
59942.15277777778	cadence	59942	ECDFS_g
59943.084027777775	cadence	59943	Euclid_g
59943.18402777778	pregap	59943	ECDFS_g
59943.28888888889	cadence	59943	COSMOS_g
59944.19513888889	pregap	59944	Euclid_g
59945.28888888889	cadence	59945	COSMOS_g
59947.28888888889	pregap	59947	COSMOS_g
59948.05902777778	bridge	59948	ECDFS_g
59954.28888888889	bridge	59954	COSMOS_g
59955.058333333334	postgap	59955	ECDFS_g
59956.058333333334	postgap	59956	Elias_S1_g
59957.058333333334	cadence	59957	ECDFS_g
59958.05763888889	cadence	59958	Elias_S1_g
59959.05763888889	cadence	59959	ECDFS_g
59959.106944444444	postgap	59959	Euclid_g
59960.05763888889	postgap	59960	XMM-LSS_g
59960.19513888889	postgap	59960	COSMOS_g
59961.05694444444	cadence	59961	ECDFS_g
59961.10555555556	cadence	59961	Euclid_g
59962.05694444444	cadence	59962	XMM-LSS_g
59962.25763888889	cadence	59962	COSMOS_g
59963.05625	cadence	59963	ECDFS_g
59963.10555555556	cadence	59963	Euclid_g
59964.05625	cadence	59964	XMM-LSS_g
59964.25763888889	cadence	59964	COSMOS_g
59965.055555555555	cadence	59965	ECDFS_g
59965.10486111111	cadence	59965	Euclid_g
